
Nom,Telefon,Direccio,Districte,Barri,Ciutat,Codi Postal,Regio,Pais,Lat,Lon,Web,
Bar Restaurant Salamanca,-,-----,Ciutat Vella,la Barceloneta,BARCELONA,08003,BARCELONA,ESPANYA,41.37869370833334,2.1907221666666663,http://www.gruposilvestre.com,
Restaurant Salamanca,-,-----,Ciutat Vella,la Barceloneta,BARCELONA,08003,BARCELONA,ESPANYA,41.37860735277778,2.191201583333333,http://www.gruposilvestre.com,
Restaurant Monguzan,-,-----,Sant Martí,el Parc i la Llacuna del Poblenou,BARCELONA,08018,BARCELONA,ESPANYA,41.40074077222222,2.1946453611111107,-----,
Bodega Costa Brava,-,-----,Gràcia,la Vila de Gràcia,BARCELONA,08024,BARCELONA,ESPANYA,41.407795602777774,2.15520625,-----,
Restaurant Tastavins - Bodega Brugal,-,-----,Les Corts,les Corts,BARCELONA,08029,BARCELONA,ESPANYA,41.38824334722222,2.140496222222222,-----,
Restaurant Mercè Vins,-,-----,Ciutat Vella,el Barri Gòtic,BARCELONA,08002,BARCELONA,ESPANYA,41.385930530555555,2.1742766666666666,-----,
Bar Restaurant El Pati,-,-----,Ciutat Vella,el Barri Gòtic,BARCELONA,08002,BARCELONA,ESPANYA,41.386362572222225,2.174097944444444,-----,
Café Loyola,-,-----,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,BARCELONA,08021,BARCELONA,ESPANYA,41.395630491666665,2.1441989444444443,-----,
Restaurant Mariona,-,-----,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,BARCELONA,08021,BARCELONA,ESPANYA,41.39596736111111,2.1434695,http://www.marionarestaurant.com,
Bar Restaurant Panchito *Amigo,-,-----,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,BARCELONA,08021,BARCELONA,ESPANYA,41.39617313888889,2.1432106388888887,http://www.panchito.com,
Restaurant La Parrilla,-,-----,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,BARCELONA,08021,BARCELONA,ESPANYA,41.396771961111114,2.142732,-----,
Bar Restaurant Don Zangano,-,-----,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,BARCELONA,08021,BARCELONA,ESPANYA,41.39745632222222,2.1418512777777776,-----,
Restaurant Vol de Nit,-,-----,Sarrià-Sant Gervasi,les Tres Torres,BARCELONA,08017,BARCELONA,ESPANYA,41.39823899444444,2.1278901666666665,-----,
Umma Gumma,-,-----,Sant Martí,el Camp de l'Arpa del Clot,BARCELONA,08026,BARCELONA,ESPANYA,41.40814104722222,2.18599175,-----,
Bar Restaurant Rincón,-,-----,Horta-Guinardó,la Font d'en Fargues,BARCELONA,08032,BARCELONA,ESPANYA,41.42153398611111,2.158957722222222,-----,
Restaurant Pizzeria La Pizza Nostra,-,-----,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",BARCELONA,08003,BARCELONA,ESPANYA,41.384539680555555,2.1817947777777777,
